FECHA_CORTE;CAMA;HABI;RUC;RAZON_SOCIAL;NOMBRE_COMERCIAL;TELEF1;TELEF2;TELEF3;TELEF4;VIA;DES_VIA;NUMERO;INTERIOR;OBS_DOMICILIO;ZONA;DES_ZONA;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;E_MAIL;PAGINA_WEB;CLASE;CATEGORIA;NRO_CERTIFICADO;FECHA_EXPEDICION;REP_LEGAL
20260824;;;10004558401;Herrera Herrera Angel Augusto;SARYRIS;;;;54221507;Calle;PUENTE BOLOGNESI;107;;;;;040101;AREQUIPA;AREQUIPA;AREQUIPA;;;Hostal;2 Estrellas;10004558401-001;09-JUL-2010 05:00:00;Angel Augusto Herrera Herrera 
20260824;20;11;10328320946;ROJAS RODRIGUEZ DANIEL ISAIAS;HOSTAL SLEEP INN;;;;977596516;AV.;LA MARINA MZ. K LOTE;10;;;URB.;BRUCES;021809;ÁNCASH;SANTA;NUEVO CHIMBOTE;danielrojas4813@hotmail.es;;Hostal;2 Estrellas;002-2022;23-MAY-2022 05:00:00;Daniel Isaias Rojas Rodriguez
20260824;;;10292008827;Cano De Herran Graciela Trinidad;EL PERAL;;;;54214574;Calle;PERAL;567;B;;;;040101;AREQUIPA;AREQUIPA;AREQUIPA;hostalelperal@hotmail.com;www.hostalperal.com;Hostal;2 Estrellas;10292008827-001;24-JUN-2011 05:00:00;Graciela Trinidad Cano De Herran
20260824;;;10292161676;Valderrama Ojeda Gladis Ciriaca;WILLY'S;;;;54200242;Calle;SOL DE PUNO;117 119;;;;;040110;AREQUIPA;AREQUIPA;MIRAFLORES;;;Hostal;2 Estrellas;10292161676-001;19-MAY-2011 05:00:00;Gladis Ciriaca Valderrama Ojeda
20260824;;;20452674239;Hotel San Jorge Residencial S.R.L.;SAN JORGE RESIDENCIAL;;;;56532885;Calle;BARRIO NUEVO;133;;;;;110501;ICA;PISCO;PISCO;hotel_san_jorge_residencial@hotmail.com;www.hotelsanjorgeresidencial.com;Hotel;3 Estrellas;044-13/Dzp;23-AGO-2013 05:00:00;Javier Jacinto Vasquez Villanueva
20260824;;;20534388498;Gutierre Groupe E.I.R.L;YBIZZA;;;;56385246;Calle;JOSE BALTA;389;;;;;110501;ICA;PISCO;PISCO;hotel.ybizza@gmail.com;;Hotel;2 Estrellas;173-19/Dircetur-Dzp;18-OCT-2019 05:00:00;Yohana Marilyn Milagros Gutierrez Arroyo De Ronceros
20260824;;;10199312907;Veliz Yupanqui Dionicio Jorge;HOTEL SAN FRANCISCO;;;;64251293;Calle;CIRCUITO LOS HEROES;310;;;;;120114;JUNÍN;HUANCAYO;EL TAMBO;;;Hostal;1 Estrella;0141-2015;17-JUN-2015 05:00:00;Dionisio Jorge Veliz Yupanqui
20260824;;;10215312386;Pardo Carlos, Yessenia Anita;HOSTAL EL SUEÑO DE SAN MARTIN;;;;56534384;AV.;JOSE DE SAN MARTIN;;;;;;110505;ICA;PISCO;PARACAS;;;Hostal;3 Estrellas;068-2015/Dzp;02-MAR-2015 05:00:00;Yessenia Anita Pardo Carlos
20260824;;;10222731238;Tasayco Tercero, David Martin;NUESTRO SECRETO;;;;985998313;Calle;4 DE JULIO;496;;;;;110501;ICA;PISCO;PISCO;;;Hostal;2 Estrellas;010-14/Dt;13-MAR-2014 05:00:00;David Martin Tasayco Tercero
20260824;;;10223145171;Ramos Quispe, Modesta;MONASTERIO;;;;56531383;AV.;BOLOGNESI;326;-;;;;110501;ICA;PISCO;PISCO;;;Hostal;3 Estrellas;034-12/Dzp;04-ABR-2017 05:00:00;Modesta Ramos Quispe
20260824;;;10292378691;Quiroz Cornejo Lenin Sergio;DON CHECHO;;;;54344143;CAR.;VARIANTE UCHUMAYO;2.5;;;;;040117;AREQUIPA;AREQUIPA;SACHACA;;;Hostal;1 Estrella;10292378691-001;28-SEP-2010 05:00:00;Lenin Sergio Quiroz Cornejo
20260824;;;10292395235;Vilca Pacheco, Bertha Anastasia;KILLAYMI;;;;;Calle;EDILBERTO ZEGARRA BALLÓN;110;;;;;040129;AREQUIPA;AREQUIPA;JOSÉ LUIS BUSTAMANTE Y RIVERO;;;Hostal;2 Estrellas;000-2022;14-FEB-2022 05:00:00;Bertha Anastasia Vilca Pacheco
20260824;;;10292574989;Granda Paredes Frida Narcisa;VIRREY;;;;54423542;AV.;SAN JUAN DE DIOS;607;;;;;040101;AREQUIPA;AREQUIPA;AREQUIPA;;;Hotel;1 Estrella;10292574989-001;24-SEP-2015 05:00:00;Frida Narcisa Granda Paredes
20260824;;;20495013741;Servicios Turisticos Crisolmar S.A.C;CRISOLMAR PRADERA;;;;56535995;AV.;FERMIN TANGUIS;;;;;;110501;ICA;PISCO;PISCO;crisolmarpradera@hotmail.com;www.hotelcrisolmarpradera.com.pe;Hotel;3 Estrellas;009-14/Dzp;19-FEB-2014 05:00:00;Cristhian Alberto Diaz Tito
20260824;;;10180375291;Ruiz Castañeda Manuel Martin;HOSTAL CHIFA RESID. CITY MAR;;;;;AV.;VICTOR LARCO;440;;;;;130111;LA LIBERTAD;TRUJILLO;VICTOR LARCO HERRERA;;;Hostal;2 Estrellas;501-2015;27-ABR-2015 05:00:00;Manuel Martin Ruiz Castañeda
20260824;41;20;10273709776;IMAÑA NUÑEZ AMADEO;GRAN HOTEL AMADEUS;;;;985731900/929516160;JR.;27 DE NOVIEMBRE;228;;;CI.;;060401;CAJAMARCA;CHOTA;CHOTA;imananunez@gmail.com;;Hotel;3 Estrellas;Certificado Nº 559-2022;22-SEP-2022 05:00:00;Amadeo Imaña Nuñez
20260824;;;10292151701;Tejada Franco, Sandro Vicente;REAL;;;;54281808;Calle;SANTO DOMINGO;305;B;;;;040101;AREQUIPA;AREQUIPA;AREQUIPA;hotelreal@terra.com.pe;;Hotel;2 Estrellas;10292151701-001;24-JUN-2011 05:00:00;Sandro Vicente Tejada Franco
20260824;;;10292621111;Chavez Ramirez Maria Elena Felicita;MIRASOL;;;;54632873;Calle;RIVERO;641;;;;;040101;AREQUIPA;AREQUIPA;AREQUIPA;;;Hostal;2 Estrellas;10292621111-001;20-ABR-2011 05:00:00;Maria Elena Felicita Chavez Ramirez
20260824;;;20141569920;C.I.A. Serv. Turisticos El Mirador S.A.;EL MIRADOR;;;;56545086;CAR.;PISCO-PUNTA PEJERREY KM 18;;;;;;110505;ICA;PISCO;PARACAS;reservas@elmiradorhotel.com;www.elmiradorhotel.com;Hotel;3 Estrellas;023-2010;05-JUL-2010 05:00:00;Jorge Luis Bacca Avalos
20260824;;;20503322251;Game And Services S.A.C.;BOULEVARD;;;;56533084;Calle;COMERCIO;180;;;;;110501;ICA;PISCO;PISCO;;;Hotel;2 Estrellas;015-14/Dzp;09-ABR-2014 05:00:00;Miguel Angel Alvarez Pineda
20260824;13;9;10106154398;Falconi Alvarado De Arroyo Rosa Manuela;EL MIRADOR DE CAYITO;;;;994885950;AV.;CIRCUNVALACION MZ 102 LTE 3;S/N;;;;;150401;LIMA;CANTA;CANTA;elmiradordecayito@hotmail.com;;Hostal;2 Estrellas;075-2021;04-OCT-2021 05:00:00;Rosa Manuela Mirtha Falconi Alvarado De Arroyo
20260824;;;20495041019;Corporacion El Gamonal Sociedad Comercial De Responsabilidad Limitada;CORPORACION EL GAMONAL S.R.L.;;;;56267636;VIA;MZA  C LOTE 01;;;;;;110505;ICA;PISCO;PARACAS;;;Hotel;2 Estrellas;057-14/Dt;09-DIC-2014 05:00:00;Mariela Janet Patiño Astorayme
20260824;12;10;10464862540;Velazco Riqueros Yrina Linoshka;HATUN KANTA;;;;997051119;JR.;CACERES;611;;;;;150401;LIMA;CANTA;CANTA;;;Hostal;2 Estrellas;076-2021;04-OCT-2021 05:00:00;Yrina Linoshka Velazco Riqueros
20260824;;;10200513237;Pucuhuanca Huaman Agapito E;ROGER;;;;64233488;JR.;ANCASH;460;;;;;120101;JUNÍN;HUANCAYO;HUANCAYO;;;Hotel;2 Estrellas;0136-2015;13-ABR-2015 05:00:00;Agapito E Pucuhuanca Huaman
20260824;;;10101009624;Rodriguez Sarasi Tomas Jorge;GEORGE;;;;958271249;Calle;EMANCIPACION;S/N;;;;;040307;AREQUIPA;CARAVELÍ;CHALA;;;Hotel;3 Estrellas;009-2020-Gra/Grcet;29-ABR-2015 05:00:00;Tomas Jorge Rodriguez Sarasi
20260824;;;10248853471;Kana Noa, Juan;DON JUAN;;;;54651154;JR.;MOQUEGUA;138;;;;;040201;AREQUIPA;CAMANÁ;CAMANÁ;;;Hostal;1 Estrella;10248853471-001;27-ABR-2012 05:00:00;Juan Kana Noa
20260824;22;22;10292601820;Ramos Mamanchura Felipe;ACUARIO;;;;920593036;Calle;TERMINAL TERRESTRE;B;1;;URB.;HUNTER;040129;AREQUIPA;AREQUIPA;JOSÉ LUIS BUSTAMANTE Y RIVERO;hostal.acuario1@gmail.com;;Hostal;1 Estrella;026;15-JUN-2022 05:00:00;Felipe Ramos Mamanchura
20260824;;;20367553180;Regency Plaza S.R.L.;REGENCY PLAZA;;;;5635919;Calle;PROGRESO;117;;;;;110501;ICA;PISCO;PISCO;;;Hotel;3 Estrellas;007-14/Dzp;31-ENE-2014 05:00:00;Luisa Margarita Toguchi Carrasco
20260824;;;20494723744;Servicios Turisticos Hostal Marilyn E.I.R.L;MARILYN;;;;56535048;PJ.;JAZMIN;198;;;;;110501;ICA;PISCO;PISCO;;;Hostal;3 Estrellas;054-14/Dzp;03-DIC-2014 05:00:00;Edith Victoria Ramos Abregu
20260824;;;10198583249;Sosa Valenzuela Pio Maximo;SAUNA BLUB;;;;64221692;PJ.;VERAND;187;;;;;120101;JUNÍN;HUANCAYO;HUANCAYO;;;Hotel;3 Estrellas;0133-2015;18-MAR-2015 05:00:00;Pio Maximo Sosa Valenzuela
20260824;;;10180691176;Añorga Carbonel, Janira;EL GALENO;;;;;VIA;-;;;;;;130101;LA LIBERTAD;TRUJILLO;TRUJILLO;;;Hostal;3 Estrellas;244-2011;27-DIC-2011 05:00:00;Janira Añorga Carbonel
20260824;;;10199117004;Lazo Ordonez Carlos Sebastian;SANTA ROSA;;;;64242911;JR.;SANTA ROSA;1161;;;;;120114;JUNÍN;HUANCAYO;EL TAMBO;;;Hostal;2 Estrellas;0067-2010;28-OCT-2010 05:00:00;Juvenal Okuma Imazu
20260824;;;10200908258;Torres Arroyo Prospero;MELODY;;;;64216555;JR.;MARISCAL CACERES-CHILCA;300;;;;;120107;JUNÍN;HUANCAYO;CHILCA;;;Hostal;2 Estrellas;0040-2018;27-MAR-2018 05:00:00;Prospero Torres Arroyo
20260824;;;10223083477;Medina Donayre Maria Isabel;BOULE BAR;;;;56542726;AV.;GENARO MEDRANO;397;;;;;110506;ICA;PISCO;SAN ANDRÉS;;;Hostal;3 Estrellas;011-2013/Dzp-Ica;20-FEB-2013 05:00:00;Maria Isabel Medina Donayre
20260824;;;10292315291;Febres De Diaz Doris Juana F.;MARIA;;;;54286722;Calle;NUEVA;310;;;;;040101;AREQUIPA;AREQUIPA;AREQUIPA;;;Hotel;1 Estrella;10292315291-001;09-JUL-2010 05:00:00;Doris Juana Francisca Febres Polanco Vda De Diaz
20260824;;;20279061927;Emp Complejo Turistico Lea S A;EMBASSY BEACH;;;;56532256;AV.;SAN MARTIN;1119;;;;;110501;ICA;PISCO;PISCO;embassyhoteles@terra.com;www.hotelesembassy.com;Hotel;3 Estrellas;022-14/Dzp;26-JUN-2014 05:00:00;Beatriz Lourdes Castro Lea
20260824;;;10271546063;Vargas Cabanillas Abdon Guillermo; EL PILLKAY;;;;;JR.;PIZARRO;911;;;;;130101;LA LIBERTAD;TRUJILLO;TRUJILLO;;;Hostal;3 Estrellas;184-2011;25-FEB-2011 05:00:00;Abdon Guillermo Vargas Cabanillas
20260824;;;10200127230;Rojas Cerron Luis Raul;LUNA PARK;;;;64247840;JR.;LA MERCED;640;;;;;120114;JUNÍN;HUANCAYO;EL TAMBO;lunaparkhospedaje@terra.com;;Hostal;2 Estrellas;0003-2015;12-OCT-2015 05:00:00;Luis Raul Rojas Cerron
20260824;;;10201070029;Rojas Sotelo Nelly Giovanna;IQUITOS;;;;64219192;PJ.;PRIALE;181;;;;;120101;JUNÍN;HUANCAYO;HUANCAYO;;;Hotel;1 Estrella;0033-2017;17-NOV-2017 05:00:00;Nelly Giovanna Rojas Sotelo
20260824;89;47;20531644043;Inversiones Thasha E.I.R.L.;GRAN HOTEL CHELSEA;;;;43310414/981440281;PQ.;MZA. A LOTE. 01;A-1;;;UR.;BUENOS AIRES - I  ETAPA;021809;ÁNCASH;SANTA;NUEVO CHIMBOTE;granhotelchelsea@gmail.com;www.hotelgranchelsea.com;Hotel;3 Estrellas;004-2020;10-FEB-2020 05:00:00;Luis Enrique Beltran Corzo
20260824;18;12;20531941501;Inversiones Generales Duo S.A.C.;DUO;;;;43796157/947270897;VIA;MZA. J LOTE;23;;;A.H.;SAN FELIPE;021809;ÁNCASH;SANTA;NUEVO CHIMBOTE;inversionesduo14@gmail.com;;Hostal;1 Estrella;005-2011;25-FEB-2011 05:00:00;Ceberiano Morales Martinez
20260824;44;24;20602176631;CORPORACION REAL FLOR S.A.C.;HOTEL** REAL CHIMBOTE;;;;43417793/976578628;JR.;SAENZ PEÑA;220;;FRENTE A LAS OFICINA DE AFOCAT;CI.;CASCO URBANO;021801;ÁNCASH;SANTA;CHIMBOTE;hotelrealchimbote@gmail.com;https://www.booking.com/hotel/pe/real-chimbote.es.html;Hotel;2 Estrellas;013-2017;04-AGO-2017 05:00:00;Melanio Flores Arteaga
20260824;52;31;20605240012;INVERSIONES TURISTICAS REAL FLOR S.A.C.;HOTEL** CAMINO REAL;;;;43771854/43764636/977200196;AV.;CAMINO REAL ;349;;;P.J.;MAGDALENA NUEVA;021801;ÁNCASH;SANTA;CHIMBOTE;hotelcaminoreal@gmail.com;https:/www.booking.com/hotel/pe/camino-real-chimbote.es.html;Hotel;2 Estrellas;017-2019;15-NOV-2019 05:00:00;Melanio Flores Arteaga
20260824;18;11;10181698760;Coronel Moreno Shulse Ulder;CUPIDO;;;;43582388/952830845/988018764;VIA;MZA. A5 LOTE. ;4C;;;URB.;SAN RAFAEL - II ETAPA;021809;ÁNCASH;SANTA;NUEVO CHIMBOTE;coronelzavaletawilly@gmail.com;;Hostal;2 Estrellas;006-2016;26-FEB-2016 05:00:00;Shulse Ulder Coronel Moreno
20260824;17;17;10064248028;Perez Mezonez, Yrma;HOSTAL MORRO SWISS;;;;976134301;Calle;ALFREDO BASTOS;518;;;CI.;;060801;CAJAMARCA;JAÉN;JAÉN;;;Hostal;2 Estrellas;268-2017;02-JUN-2017 05:00:00;Yrma Perez Mezonez
20260824;25;15;10329823151;Roncal Briceño Santos Alberto;RONVILL´S;;;;933762402/960295755;VIA;MZA. 112 LOTE;2;;;URB.;NICOLAS GARATEA;021809;ÁNCASH;SANTA;NUEVO CHIMBOTE;cazador_leo_32@hotmail.com;;Hostal;1 Estrella;019-2019;26-NOV-2019 05:00:00;Santos Alberto Roncal Briceño
20260824;42;21;20606016701;HOTEL PUNTA CAMARON S.A.C.;HOTEL PUNTA CAMARON;;;;;AV.;PANAMERICANA NORTE KM. ;1235;;SECTOR PUNTA CAMARON-ZORRITOS;BR.;SECTOR PUNTA CAMARON;240201;TUMBES;CONTRALMIRANTE VILLAR;ZORRITOS;admipuntacamaron@gmail.com;www.hotelpuntacamaron.com.pe;Hotel;2 Estrellas;002-2022/GOB.REG.TUMBES-DIRCETUR-DR;12-OCT-2022 05:00:00;Fernando Francisco Martin Belaunde Llosa
20260824;18;9;20531802056;Hostal Romances Gjl S.R.L.;ROMANCES GJL;;;;912801160;VIA;MZA. O  LOTE. ;3-A;;;URB.;EL ACERO;021801;ÁNCASH;SANTA;CHIMBOTE;wolf_16_97@hotmail.com;;Hostal;2 Estrellas;021-2010;22-DIC-2010 05:00:00;Javier Vicente Paredes Rosales
20260824;;;10211381961;Esquivel Rojas De Palomino Nancy Paula;DURAND;;;;64317434;JR.;LIMA;583;;;;;120701;JUNÍN;TARMA;TARMA;;;Hostal;1 Estrella;0075-2011;29-MAR-2011 05:00:00;Nancy Paula Esquivel Rojas De Palomino
20260824;18;12;10292297390;CARRERA CANO RAYMUNDO WILDO;LA CASITA DEL MAR;;;;969698358;Calle;MAYOR BLONDELL;420;;;;;040701;AREQUIPA;ISLAY;MOLLENDO;wcarrerac@hotmail.com;;Hostal;1 Estrella;058-2021;13-DIC-2021 05:00:00;Raymundo Wildo Carrera Cano
