FECHA_CORTE;RUC;RAZON_SOCIAL;NOMBRE_COMERCIAL;VIA;DES_VIA;NUMERO;INTERIOR;OBS_DOMICILIO;ZONA;DES_ZONA;UBIGEO;DEPARTAMENTO;PROVINCIA;DISTRITO;TELEF1;TELEF2;TELEF3;TELEF4;E_MAIL;PAGINA_WEB;CLASE;TIPO_AGENCIA;DES_SERVICIO;MODALIDAD_AUTORIZADA;REP_LEGAL;NRO_CERTIFICADO;FECHA_EXPEDICION
20260824;20604977615;Traverse Peru Tours Empresa Individual De Responsabilidad Limitada - Traverse Peru Tours E.I.R.L.;TRAVERSE PERU TOURS;PJ.;JOSE OLAYA H-16;;;;P.J.;CONSTRUCCIÓN CIVIL;080106;CUSCO;CUSCO;SANTIAGO;;;;947734399;traverseperu@gmail.com;www.traverseperu.com;Operador de Turismo;Digital, Presencial;;;John Nino Surco Alvarez;;
20260824;20609937981;Neotropic Peru Travel E.I.R.L.;NEOTROPIC PERU TRAVEL;VIA;URB. RAMIRO PRIALE F-18;;;;;;080106;CUSCO;CUSCO;SANTIAGO;;;;992860327/984002687;neotropicperu@gmail.com;www.neotropicperu.com;Operador de Turismo;Digital;;;Jose Luis Blas Livimoro;;
20260824;20605651900;Machupicchu Tour Services Sociedad Anónima Cerrada;MACHUPICCHU TOUR SERVICES;Calle;MARURI N°250 OFICINA 218;;;;;;080101;CUSCO;CUSCO;CUSCO;;;;973641015/963300363;info@machupicchutourservices.com;www.machupicchutourservices.com;Operador de Turismo;Digital;;;Ronald Emerson Valdeiglesias Romero;;
20260824;20563269015;Inversiones Pirema S.A.C.;PERU TRIPS & TRAVEL;JR.;ALBERTO LINCH;1138;;;URB.;ELIO;150101;LIMA;LIMA;LIMA;;;;997573750;welcome@perutripsandtravel.com;www.perutripsandtravel.com;Operador de Turismo;Digital;;;Yolanda Graciela Chavez Vasquez;;
20260824;20603239777;Ex Buena Linea S.R.L.;BUENA LINEA EXPEDICIONES;Calle;KAMISEA U1 LOTE 2;;;CENTRO POBLADO DE SANTA MARIA;URB.;SEGUNDA ETAPA;080904;CUSCO;LA CONVENCIÓN;MARANURA;;;;928459705;jorgeantoniobejarperez@gmail.com;facebook.com/buena-linea-expediciones-2123881221178617;Operador de Turismo;Digital, Presencial;Canotaje Turístico;Canotaje;Jorge Antonio Bejar Perez;;
20260824;20490255568;Inka´S Destination Sociedad Anonima Cerrada - Inka´S Destination S.A.C.;INKAS DESTINATION ;Calle;APV. EL OLIVO A-6;;;;;;080106;CUSCO;CUSCO;SANTIAGO;;;;981719681;info@inkasdestination.com;www.inkasdestination.com;Operador de Turismo;Presencial;;;Luis Armando Zarabia Cusihuallpa;;
20260824;20564241483;Eco Path Trek E.I.R.L.;ANDEAN GREAT TREKS;Calle;MARQUEZ N°250, OF. 2  II NIVEL;250;;;;;080101;CUSCO;CUSCO;CUSCO;;;;984329747/981488207;info@andeangreattreks.com;www.andeangreattreks.com;Operador de Turismo;Digital;;;Yulisa Caballero Concha;;
20260824;20526999674;Eva Asociados Servicios Generales E.I.R.L;EVA TOURS;Calle;ALFREDO YEPEZ MIRANDA II ETAPA MAGISTERIO;b3;;;;;080101;CUSCO;CUSCO;CUSCO;;;;952717149;jcasos@evatoursperu.com;www.evatoursperu.com;Mayorista, Minorista;Presencial;;;Jose Antonio Casos Soto;;
20260824;20605791761;PERU ENJOY YOUR DREAMS EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA;PERU ENJOY YOUR DREAMS;VIA;.;;;;URB.;SAB JUDAS CHICO B-13;080108;CUSCO;CUSCO;WANCHAQ;;;;974307335/987879903;peruenjoyyourdreams@gmail.com;www.peruenjoyyourdreams.com ;Operador de Turismo;Digital;;;Evelyn Rossana Carbajal Diaz;;
20260824;20534714719;Agencia Wily Tours S.A.C.;AGENCIA WILY TOURS S.A.C.;JR.;9 DE DICIEMBRE;209;;;;;050101;AYACUCHO;HUAMANGA;AYACUCHO;;;;66314075;wily-tours@hotmail.com;www.wilytours.com;Minorista, Operador de Turismo;Presencial;;;Wilfredo Del Pozo Pozo;;
20260824;20609699567;Pusharo Experiences Sociedad Anonima Cerrada;PUSHARO EXPERIENCES;VIA;CARRETERA URUBAMBA-OLLANTAYTAMBO KM71, SECTOR CHAQHUAR;;;;;;081301;CUSCO;URUBAMBA;URUBAMBA;;;;915399557/941413404;admin@pusharoexperiences.com;www.pusharoexperiences.com;Operador de Turismo;Presencial;;;Fiorela Luna Camiña;;
20260824;20605406131;Easy Going Peru E.I.R.L.;EASY GOING PERU;VIA;URB. TTIO AV. COSTANERA X-1-14;;;;;;080108;CUSCO;CUSCO;WANCHAQ;;;;956704719;info@easygoingperu.com;www.easygoingperu.com;Operador de Turismo;Presencial;;;Lizbeth Masias Molina;;
20260824;20609885808;Corporacion Nuna Traveling E.I.R.L.;CORPORACIÓN NUNA TRAVELING EIRL;JR.;MAMEY ;4023;;;;;150135;LIMA;LIMA;SAN MARTÍN DE PORRES;;;;928184116;corporacionunatraveling22@gmail.com;;Operador de Turismo;Digital;;;Pablo Rodriguez Villanueva;;
20260824;20606255277;Cusco Andean Roads Empresa Individual De Responsabilidad Limitada;MACHUPICCHU LLAQTA TOURS;QTA.;LOS PINOS; C-5;;;;;080303;CUSCO;ANTA;CACHIMAYO;;;;996606515/926919599;machupicchullaqtatours@gmail.com;www.machupicchullaqtatours.com;Operador de Turismo;Digital;;;Maycoll Joel Castilla Tinco;;
20260824;20565296672;Grupo Caminos Del Peru E.I.R.L;GRUPO CAMINOS DEL PERU;PJ.;MANCO CCAPAC;M-3;;;;;080106;CUSCO;CUSCO;SANTIAGO;;;;984610644;gerencia@machupicchuaventuras.com;www.machupicchuaventuras.com;Operador de Turismo;Digital, Presencial;;;Marta Maria Aguilar Medina;;
20260824;20523183355;Peruvian Wonders Travel Sociedad Anonima Cerrada;PERUVIAN WONDERS TRAVEL S.A.C.;Calle;ANGELICA PALMA;129;;;URB.;PANDO II ETAPA;150136;LIMA;LIMA;SAN MIGUEL;;;;958099512;operaciones@peruvianwt.com;www.peruvianwt.com;Minorista;Digital;;;Mercedes Cristina Calderon Rubio;;
20260824;20519445698;Mountain Lodges Of Peru Travel Sociedad Anonima Cerrada;MOUNTAIN LODGES OF PERU TRAVEL;AV.;SOL;948;403;;;;080101;CUSCO;CUSCO;CUSCO;;;;;ivanzeusmm@gmail.com;www.mountainlodgesofperu.com;Operador de Turismo;Presencial;;;Felipe Enrique Umbert Olazabal;;
20260824;20601841755;PERU ANDES EXPLORA E.I.R.L.;PERU ANDES EXPLORA ;AV.;AGUSTIN GAMARRA ;mza. A;LT.05;;;;080106;CUSCO;CUSCO;SANTIAGO;;;;984360291;info@peruandesexplora.com;wwww.peruandesexplora.com;Operador de Turismo;Digital;;;Nayrut Peña Rozas;;
20260824;20601161312;South America Invesment S.A.C;SOUTH AMERICA INVESTMENT S.A.C;JR.;JOSÉ SANTOS CHOCANO G-5;;;;;;080108;CUSCO;CUSCO;WANCHAQ;;;;977777777/983112535;machupicchutravel@hotmail.com;;Operador de Turismo;Presencial;;;Edy Edward Cuellar Margholt;;
20260824;20133786229;Tropicana Tours S.R.Ltda;TROPICANA TOURS;AV.;CASIMIRO ULLOA;235;303;;URB.;SAN ANTONIO;150122;LIMA;LIMA;MIRAFLORES;;;;2407695/995050160;gabrielasanchez@viajestropicana.com;www.viajes-tropicana.com;Minorista;Digital;;;Gabriela Sanchez Aguirre;;
20260824;20603532776;Embarcate Ya S.A.C.;EMBARCATE YA;JR.;CUSCO;410;;OFICINA P;;;150120;LIMA;LIMA;MAGDALENA DEL MAR;;;;918476041/954123161/991374962;reservas2@embarcateya.pe;www.embarcateya.pe;Minorista;Digital;;;Shirley Gissela Moreira Ortega;;
20260824;20602678025;Uvita Tour E.I.R.L.;TRANSPORTE CRONUS;JR.;LOS OPALOS;2527;;APV JORGE BASADRE ;;;150132;LIMA;LIMA;SAN JUAN DE LURIGANCHO;;;;933679596;transportecronus@gmail.com;;Operador de Turismo;Digital;;;Erick Brahan Carbajal Pajuelo;;
20260824;20534113715;Holiday Travels E.I.R.L.;HOLIDAY TRAVELS;JR.;BOLIVAR ;143;;ESQUINA DE AV 28 DE JULIO CON BOLIVAR;;;150801;LIMA;HUAURA;HUACHO;;;;;holiday_travels@hotmail.com;www.agholidaytravels.com;Minorista;Presencial;;;Jessica Patricia Espinoza Moncada;;
20260824;20609864479;ASOCIACION TURISTICA APU TARPUY - A.T.A.T.;APU TARPUY;PJ.;MERCEDES INDACOCHEA;A15;;;;;150801;LIMA;HUAURA;HUACHO;;;;922670117;apu.tarpuy@gmail.com;;Operador de Turismo;Digital;;;Hugo Valentino Zerillo Alzamora;;
20260824;20559203549;AGUILA EXPEDITIONS & TOUR S.R.L.;INKA EXPEDITIONS;Calle;LOS PICAFLORES;106;;;URB.;EL CARMEN;040101;AREQUIPA;AREQUIPA;AREQUIPA;;;;;inkaexpeditions@hotmail.com;;Operador de Turismo;Presencial;;;Bruno Domenico Zevallos Ballon;;
20260824;20600434315;INKA ALTITUDE TRAVEL COMPANY E.I.R.L.;INKA ALTITUDE -;Calle;GARCILASO;265;4;;;;080101;CUSCO;CUSCO;CUSCO;;;;986232334/984365364;info@inkaltitude.com;www.inkaltitude.com;Operador de Turismo;Digital, Presencial;;;Alejandra Caceres Bayona;;
20260824;20608873890;Nellys Tours S.A.C.;NELLYS TOURS;AV.;SAENZ PEÑA ;;;A DOS CUADRAS DE LA PLAZA MAYOR DE PUENTA PIEDRA, FRENTE LA GALERIA " LA ESTACION";;;150125;LIMA;LIMA;PUENTE PIEDRA;;;;936175625/940295502;nellys.tours@gmail.com;;Minorista, Operador de Turismo;Digital;;;Nelly Santo Aguilar Cruz;;
20260824;20605686118;C&L Travels E.I.R.L.;CYL TRAVELS;AV.;28 DE JULIO;895;1002;;;;150122;LIMA;LIMA;MIRAFLORES;;;;941377142;gerencia@cyltravels.com.pe;www.cyltravels.com.pe;Minorista;Digital;;;Sandra Lizet Arroyo Mandujano;;
20260824;20602366911;Wft Peru Tours E.I.R.L.;TREK THE COLCA;JR.;MATEO PUMACAHUA;2190;;;;;150116;LIMA;LIMA;LINCE;;;;961222393;trekthecolca@outlook.com;www.trekthecolca.com;Operador de Turismo;Digital;;;Ronny Aldahir Sales Celi;;
20260824;20603550766;Corporacion Peru On Net S.R.L.;PERU ON NET;PJ.;PEDRO DAVALOS LISSON;360;8;;;;150101;LIMA;LIMA;LIMA;;;;16991161;reservas@peruonnet.com;www.peruonnet.com;Operador de Turismo;Digital;;;Alejandro Gonzales Espinoza;;
20260824;20154723243;Nexos Servicios Y Representaciones Turisticas S.A.C.;NEXOS/INBOUND PERÚ BY NEXOS;Calle;GERMAN SCHREINER;276;;;;;150131;LIMA;LIMA;SAN ISIDRO;;;;958016266/954188758;info@nexos.com.pe;www.nexos.com.pe // www.inbounperu.com;Operador de Turismo;Digital;;;Claudia Eva Lifschitz De Alt;;
20260824;20605594451;MACHU PICCHU PERU WORLD E.I.R.L.;MACHU PICCHU PERU WORLD;VIA;.CUESTA SANTA ANA;577;;;;;080101;CUSCO;CUSCO;CUSCO;;;;;machupicchuworld@gmail.com;www.machupicchuperuworld.com;Operador de Turismo;Digital, Presencial;;;Marizol Ocaña Chacmana;;
20260824;20608219502;Aero Cab S.A.C.;AEROCAB TRAVEL & TOURISM;LT.;38;;;ZONA P - HUAYCAN OTR. UCV 194 LOTE 38 REF: A 2 CUADRAS DEL MERCADO SANTA ROSA;;;150103;LIMA;LIMA;ATE;;;;17594165/998866456/960607020;aerocabsac.lima@gmail.com;aerocab-travel-tourism.negocio.site;Operador de Turismo;Digital;;;Jhonatan Andy Leon Campos;;
20260824;20563830264;Pukupuku Travel Sociedad Comercial De Responsabilidad Limitada- Pukupuku Travel S.R.L.;PUKUPUKU TRAVEL;JR.;18 DE MAYO G-1-4;;;;URB.;TTIO;080108;CUSCO;CUSCO;WANCHAQ;;;;992210621;info@pukupukutravel.com;www.pukupukutravel.com;Operador de Turismo;Presencial;;;Ibeth Lucrecia Bocangel Madera;;
20260824;20609544725;MACHUPICCHU TRAVEL 360 E.I.R.L.;MACHUPICCHU EXPLORA;JR.;2;;;;AS.;KCANTOS;080106;CUSCO;CUSCO;SANTIAGO;;;;958261755;reservas@machupicchuexplora.com;www.machupicchuexplora.com;Operador de Turismo;Digital;;;Sonia Elizabet Apaza Cutipa;;
20260824;20608919512;Inversiones Anta Expeditions Sociedad Anonima Cerrada;ANTA EXPEDITIONS ;VIA;..;;;;URB.;SAN JUDAS GRANDE PASAJE Q-NºB-30;080108;CUSCO;CUSCO;WANCHAQ;;;;984768874/984362477;;HTTPS//ANTAEXPEDITIONS.COM;Operador de Turismo;Digital;;;Juan Julio Ojeda Soncco;;
20260824;20511244138;V.I.P. Viajes Y Representaciones S.A.;V.I.P. VIAJES Y REPRESENTACIONES S.A.;Calle;LOS ANTARES;320;;TORRE B OFICINA 403 C.E. EL NUEVO TRIGAL;;;150140;LIMA;LIMA;SANTIAGO DE SURCO;;;;989465585;producto@vipviajesperu.com;www.vipviajesperu.com;Mayorista, Minorista;Digital;;;Maria Luz Guizado Machacca;;
20260824;20609576023;Round Trip E.I.R.L.;ROUND TRIP;Calle;MONTE ALAMO;639;;;URB.;MONTERRICO SUR;150140;LIMA;LIMA;SANTIAGO DE SURCO;;;;936535000;roundtripeirl@gmail.com;;Operador de Turismo;Digital;;;Mayra Hanna Ibarra Rivas;;
20260824;20606398264;Empresa Pesquera Artesanal De Productos Marinos Huacho S.R.L;EPAPROMAR;Calle;CHANCAY;mz.c-lt.6;;MANZANARES;;;150801;LIMA;HUAURA;HUACHO;;;;939160631;;irpacari@gmail.com;Operador de Turismo;Digital;;;Wilfredo Serafin Suarez Morales;;
20260824;20600769317;A.V.T Jisa Adventure E.I.R.L;A.V.T. JISA ADVENTURE;Calle;GARCILASO;265;12;;;;080101;CUSCO;CUSCO;CUSCO;;;;984930404;infojisaadventure@gmail.com;;Operador de Turismo;Presencial;;;Felicia Acuña Salas;;
20260824;20608695304;Killamaru Travel Adventures E.I.R.L.;KMT ADVENTURES;Calle;SANTA ROSA S/N;;;;;;080104;CUSCO;CUSCO;SAN JERÓNIMO;;;;965976612;INFO@KILLAMARUTRAVEL.COM;info@killamarutravel.com;Operador de Turismo;Digital;;;Robinson La Torre Nuñez;;
